Player,2022-08-06,2022-08-14,2022-08-20
Harry Kane,0.1,0.6,1.0
Son Heung-min,0.6,0.2,0.2
Emerson,0.2,0.0,0.1
Ryan Sessegnon,0.2,0.1,0.0
Dejan Kulusevski,0.2,0.0,0.0
Eric Dier,0.1,0.0,0.0
Pierre Hojbjerg,0.0,0.0,0.0
Rodrigo Bentancur,0.0,0.0,0.0
Ivan Perisic,0.0,0.0,0.0
Ben Davies,0.0,0.0,0.0
