Player,2022-08-07,2022-08-13,2022-08-22,2022-08-27
Diogo Dalot,0.1,0.1,0.1,1
Bruno Fernandes,0.6,0.0,0.4,0
Jadon Sancho,0.2,0.1,0.1,0
Marcus Rashford,0.0,0.1,0.0,0
Christian Eriksen,0.1,0.0,0.0,0
Scott McTominay,0.0,0.0,0.0,0
