Player,2022-08-07,2022-08-13,2022-08-22,2022-08-27,2022-09-01,2022-09-04,2022-09-08,2022-09-15,2022-10-02,2022-10-06,2022-10-09,2022-10-13
Bruno Fernandes,1,0,0,1,1,0,1,1,2,0,1,1
Diogo Dalot,0,1,0,3,0,1,0,0,0,2,1,0
Christian Eriksen,0,0,1,0,0,0,0,0,0,0,1,0
Lisandro Martinez,1,0,0,1,1,0,0,0,0,0,0,0
David de Gea,0,0,0,0,0,0,0,0,0,0,0,0
