Player,2022-08-07,2022-08-13,2022-08-22,2022-08-27
Bruno Fernandes,0.2,0.1,0.1,0.6
Christian Eriksen,0.1,0.2,0.1,0.4
Scott McTominay,0.1,0.0,0.0,0.2
Marcus Rashford,0.2,0.1,0.7,0.0
Jadon Sancho,0.0,0.0,0.3,0.0
Diogo Dalot,0.4,0.1,0.0,0.0
