Player,2022-08-07,2022-08-13,2022-08-21
Erling Haaland,1.0,0.2,1.0
Bernardo Silva,0.0,0.0,0.6
Ilkay Gundogan,0.2,0.3,0.4
Kevin De Bruyne,0.1,0.2,0.2
Rodri,0.0,0.1,0.2
Ruben Dias,0.0,0.1,0.2
Phil Foden,0.0,0.5,0.1
Nathan Ake,0.1,0.1,0.0
Joao Cancelo,0.0,0.0,0.0
Kyle Walker,0.0,0.0,0.0
