Player,2022-08-07,2022-08-13,2022-08-21
Kevin De Bruyne,0.6,0.2,0.6
Ilkay Gundogan,0.1,0.1,0.3
Bernardo Silva,0.0,0.0,0.3
Rodri,0.0,0.0,0.2
Erling Haaland,0.0,0.3,0.1
Phil Foden,0.3,0.2,0.1
Ruben Dias,0.0,0.0,0.1
Joao Cancelo,0.1,0.0,0.0
Nathan Ake,0.0,0.0,0.0
Kyle Walker,0.0,0.0,0.0
