Player,2022-08-05,2022-08-13,2022-08-20,2022-08-27,2022-08-31
Martinelli,0.1,0.5,0.0,0.6,0.4
Ben White,0.1,0.0,0.0,0.0,0.4
Bukayo Saka,0.0,0.2,0.2,0.1,0.3
Martin Odegaard,0.0,0.1,0.0,0.1,0.2
William Saliba,0.0,0.0,0.0,0.8,0.1
Gabriel Jesus,0.0,0.6,0.3,0.1,0.1
Granit Xhaka,0.0,0.1,0.1,0.1,0.1
Gabriel Dos Santos,0.0,0.0,0.0,0.0,0.0
