Player,2022-08-05,2022-08-13,2022-08-20,2022-08-27,2022-08-31
Gabriel Jesus,0.1,1.4,0.1,0.5,1.1
Bukayo Saka,0.2,0.0,0.0,0.2,0.5
Gabriel Dos Santos,0.0,0.1,0.1,0.8,0.3
Martinelli,0.6,0.1,0.5,0.3,0.3
Martin Odegaard,0.1,0.0,0.9,0.2,0.3
Granit Xhaka,0.0,0.6,0.0,0.1,0.0
William Saliba,0.0,0.0,0.1,0.0,0.0
Ben White,0.0,0.0,0.0,0.0,0.0
