Player,2022-08-06,2022-08-15,2022-08-22,2022-08-27,2022-08-31
Luis Diaz,0.3,0.2,0.6,0.3,0.5
Virgil van Dijk,0.0,0.0,0.0,0.1,0.1
Harvey Elliott,0.0,0.2,0.2,0.0,0.1
Trent Alexander-Arnold,0.0,0.2,0.0,0.0,0.1
Fabinho,0.0,0.0,0.0,0.0,0.1
Mohamed Salah,0.5,0.2,0.2,1.3,0.0
Andrew Robertson,0.0,0.1,0.0,0.1,0.0
Jordan Henderson,0.1,0.0,0.1,0.0,0.0
