Player,2022-08-06,2022-08-15,2022-08-22,2022-08-27,2022-08-31,2022-09-03,2022-09-07,2022-09-13,2022-10-01,2022-10-04,2022-10-09,2022-10-12
Fabinho,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Mohamed Salah,0.4,0.6,0.1,0.1,0.4,0.2,0.0,0.3,0.0,0.2,0.0,0.0
Virgil van Dijk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Alisson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
