Player,2022-08-06,2022-08-15,2022-08-22,2022-08-27,2022-08-31,2022-09-03,2022-09-07,2022-09-13,2022-10-01,2022-10-04,2022-10-09,2022-10-12
Mohamed Salah,0.5,0.2,0.2,1.3,0.0,0.3,0.2,0.6,0.7,0.3,0.0,0.5
Virgil van Dijk,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.1,0.3,0.0,0.0
Fabinho,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Alisson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
