Player,2022-08-06,2022-08-14,2022-08-21,2022-08-27,2022-08-30
Thiago Silva,1,1,1,1,1
Raheem Sterling,0,0,0,0,1
Ruben Loftus-Cheek,1,1,1,1,0
Kai Havertz,0,0,0,0,0
Mason Mount,0,0,0,0,0
Cesar Azpilicueta,0,0,0,0,0
Jorginho,0,0,0,0,0
Marc Cucurella,0,0,0,0,0
Edouard Mendy,0,0,0,0,0
