Player,2022-08-06,2022-08-14,2022-08-21,2022-08-27,2022-08-30,2022-09-03,2022-09-06
Mason Mount,0.0,0.1,0.2,0.0,0.3,0.0,0.2
Kai Havertz,0.0,0.0,0.1,0.0,0.0,0.0,0.1
Jorginho,0.0,0.1,0.0,0.0,0.0,0.0,0.1
Raheem Sterling,0.1,0.4,0.1,0.5,0.1,0.0,0.0
