Player,2022-08-06,2022-08-14,2022-08-21,2022-08-27,2022-08-30,2022-09-03,2022-09-06,2022-09-14,2022-10-01,2022-10-05,2022-10-08,2022-10-11
Mason Mount,0.1,0.2,0.2,0.0,0.1,0.0,0.3,0.1,0.3,0.1,0.2,0.0
Jorginho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
