Player,2022-08-06,2022-08-14,2022-08-21,2022-08-27,2022-08-30
Raheem Sterling,0.4,0.2,0.1,1.3,0.5
Kai Havertz,0.2,0.3,0.0,0.0,0.4
Mason Mount,0.1,0.2,0.2,0.0,0.1
Ruben Loftus-Cheek,0.0,0.1,0.1,0.5,0.0
Marc Cucurella,0.0,0.1,0.1,0.0,0.0
Thiago Silva,0.0,0.0,0.1,0.0,0.0
Jorginho,0.0,0.0,0.0,0.0,0.0
