Player,2022-08-06,2022-08-14,2022-08-21,2022-08-27,2022-08-30
Mason Mount,0.0,0.1,0.2,0,0.3
Raheem Sterling,0.1,0.4,0.1,0,0.1
Marc Cucurella,0.2,0.1,0.1,1,0.0
Ruben Loftus-Cheek,0.0,0.2,0.1,0,0.0
Kai Havertz,0.0,0.0,0.1,0,0.0
Jorginho,0.0,0.1,0.0,0,0.0
Thiago Silva,0.0,0.0,0.0,0,0.0
