Player,2022-08-07,2022-08-13,2022-08-21,2022-08-27,2022-08-31,2022-09-03,2022-09-06,2022-09-14,2022-09-17,2022-10-02,2022-10-05
Erling Haaland,1.0,0.2,1.0,1.5,2.1,0.7,2.3,0.3,0.1,1.0,1.0
Bernardo Silva,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.1,0.0,0.3,0.3
Joao Cancelo,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.1
Ederson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
