Player,2022-08-07,2022-08-13,2022-08-21,2022-08-27,2022-08-31
Ilkay Gundogan,0.1,0.1,0.3,0.4,0.6
Kevin De Bruyne,0.6,0.2,0.6,0.3,0.1
Phil Foden,0.3,0.2,0.1,0.3,0.1
Bernardo Silva,0.0,0.0,0.3,0.5,0.0
Rodri,0.0,0.0,0.2,0.1,0.0
Joao Cancelo,0.1,0.0,0.0,0.1,0.0
Kyle Walker,0.0,0.0,0.0,0.1,0.0
Erling Haaland,0.0,0.3,0.1,0.0,0.0
Ruben Dias,0.0,0.0,0.1,0.0,0.0
